"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","","","1713","","changeUser.ChangeUserTest","","changeUser.ChangeUserTest","","changeUserNotAuth",""
"passed","","","302","","createUser.CreateNewUserTest","","createUser.CreateNewUserTest","","createUserNotLine{String, String, String}[1]",""
"failed","","","7890","","authorizationUser.AuthorizationUserTest","","authorizationUser.AuthorizationUserTest","","createCourierNotLineName",""
"passed","","","249","","createUser.CreateNewUserTest","","createUser.CreateNewUserTest","","createUserNotLine{String, String, String}[4]",""
"passed","","","2190","","changeUser.ChangeUserTest","","changeUser.ChangeUserTest","","changeUserName",""
"passed","","","325","","createUser.CreateNewUserTest","","createUser.CreateNewUserTest","","newUser",""
"passed","","","1693","","authorizationUser.AuthorizationUserTest","","authorizationUser.AuthorizationUserTest","","newCourier",""
"passed","","","234","","createUser.CreateNewUserTest","","createUser.CreateNewUserTest","","createUserNotLine{String, String, String}[3]",""
"failed","","","1467","","CreateOrder.CreateOrderTest","","CreateOrder.CreateOrderTest","","createOrderNotIngredients",""
"failed","","","825","","CreateOrder.CreateOrderTest","","CreateOrder.CreateOrderTest","","createOrder",""
"passed","","","1882","","CreateOrder.CreateOrderTest","","CreateOrder.CreateOrderTest","","createOrderNotValidateIngredients",""
"passed","","","2464","","changeUser.ChangeUserTest","","changeUser.ChangeUserTest","","changeUserEmail",""
"passed","","","247","","createUser.CreateNewUserTest","","createUser.CreateNewUserTest","","createUserNotLine{String, String, String}[6]",""
"passed","","","1950","","CreateOrder.CreateOrderTest","","CreateOrder.CreateOrderTest","","createOrderNullIngredients",""
"failed","","","1520","","changeUser.ChangeUserTest","","changeUser.ChangeUserTest","","createCourierNotLineName",""
"passed","","","251","","createUser.CreateNewUserTest","","createUser.CreateNewUserTest","","createUserNotLine{String, String, String}[5]",""
"passed","","","2134","","getOrder.GetOrderTest","","getOrder.GetOrderTest","","getOrdersUser",""
"passed","","","2021","","CreateOrder.CreateOrderTest","","CreateOrder.CreateOrderTest","","createOrderNotAuth",""
"passed","","","570","","createUser.CreateNewUserTest","","createUser.CreateNewUserTest","","createTwoSameUser",""
"passed","","","247","","createUser.CreateNewUserTest","","createUser.CreateNewUserTest","","createUserNotLine{String, String, String}[2]",""
"passed","","","1844","","authorizationUser.AuthorizationUserTest","","authorizationUser.AuthorizationUserTest","","createCourierNotLinePassword",""
"passed","","","2107","","getOrder.GetOrderTest","","getOrder.GetOrderTest","","getOrdersUserNotAuth",""
